layer,x_in,x_out,total_cache_needed_kb,residual_0,residual_1,residual_2,residual_3,residual_4,residual_5,residual_6,residual_7,residual_8,residual_9,residual_10,residual_11,residual_12,residual_13,residual_14,residual_15,residual_16,residual_17,residual_18,residual_19,residual_20,residual_21,residual_22,residual_23,hold_0_ln_1_to_q_proj_k_proj_v_proj,hold_1_q_proj_to_matmul,hold_2_k_proj_to_matmul,hold_3_v_proj_to_matmul_1,hold_4_ln_1_to_q_proj_k_proj_v_proj,hold_5_q_proj_to_matmul_2,hold_6_k_proj_to_matmul_2,hold_7_v_proj_to_matmul_3,hold_8_ln_1_to_q_proj_k_proj_v_proj,hold_9_q_proj_to_matmul_4,hold_10_k_proj_to_matmul_4,hold_11_v_proj_to_matmul_5,hold_12_ln_1_to_q_proj_k_proj_v_proj,hold_13_q_proj_to_matmul_6,hold_14_k_proj_to_matmul_6,hold_15_v_proj_to_matmul_7,hold_16_ln_1_to_q_proj_k_proj_v_proj,hold_17_q_proj_to_matmul_8,hold_18_k_proj_to_matmul_8,hold_19_v_proj_to_matmul_9,hold_20_ln_1_to_q_proj_k_proj_v_proj,hold_21_q_proj_to_matmul_10,hold_22_k_proj_to_matmul_10,hold_23_v_proj_to_matmul_11,hold_24_ln_1_to_q_proj_k_proj_v_proj,hold_25_q_proj_to_matmul_12,hold_26_k_proj_to_matmul_12,hold_27_v_proj_to_matmul_13,hold_28_ln_1_to_q_proj_k_proj_v_proj,hold_29_q_proj_to_matmul_14,hold_30_k_proj_to_matmul_14,hold_31_v_proj_to_matmul_15,hold_32_ln_1_to_q_proj_k_proj_v_proj,hold_33_q_proj_to_matmul_16,hold_34_k_proj_to_matmul_16,hold_35_v_proj_to_matmul_17,hold_36_ln_1_to_q_proj_k_proj_v_proj,hold_37_q_proj_to_matmul_18,hold_38_k_proj_to_matmul_18,hold_39_v_proj_to_matmul_19,hold_40_ln_1_to_q_proj_k_proj_v_proj,hold_41_q_proj_to_matmul_20,hold_42_k_proj_to_matmul_20,hold_43_v_proj_to_matmul_21,hold_44_ln_1_to_q_proj_k_proj_v_proj,hold_45_q_proj_to_matmul_22,hold_46_k_proj_to_matmul_22,hold_47_v_proj_to_matmul_23
encoder.layers.encoder_layer_9.self_attention.q_proj,0,151.296,453.888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0,0,0,0
encoder.layers.encoder_layer_9.self_attention.k_proj,0,151.296,605.184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,151.296,0,0,0,0,0,0,0,0,0,0
encoder.layers.encoder_layer_9.self_attention.v_proj,0,151.296,756.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,151.296,151.296,0,0,0,0,0,0,0,0,0
matmul_18,0,465.708,1070.892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,151.296,151.296,0,0,0,0,0,0,0,0
truediv_9,465.708,465.708,1234.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0
encoder.layers.encoder_layer_9.self_attention.softmax,465.708,465.708,1234.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0
matmul_19,465.708,151.296,919.596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0
encoder.layers.encoder_layer_9.self_attention.out_proj,151.296,151.296,453.888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
add_19,151.296,151.296,453.888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
encoder.layers.encoder_layer_9.ln_2,0,151.296,302.592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
encoder.layers.encoder_layer_9.mlp.0,151.296,605.184,907.776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
encoder.layers.encoder_layer_9.mlp.1,605.184,605.184,1361.664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
encoder.layers.encoder_layer_9.mlp.3,605.184,151.296,907.776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
add_20,0,151.296,453.888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
encoder.layers.encoder_layer_10.ln_1,0,151.296,302.592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
encoder.layers.encoder_layer_10.self_attention.q_proj,0,151.296,453.888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0
encoder.layers.encoder_layer_10.self_attention.k_proj,0,151.296,605.184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,151.296,0,0,0,0,0,0
encoder.layers.encoder_layer_10.self_attention.v_proj,0,151.296,756.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,151.296,151.296,0,0,0,0,0
matmul_20,0,465.708,1070.892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,151.296,151.296,0,0,0,0
truediv_10,465.708,465.708,1234.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0
encoder.layers.encoder_layer_10.self_attention.softmax,465.708,465.708,1234.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0
matmul_21,465.708,151.296,919.596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0
encoder.layers.encoder_layer_10.self_attention.out_proj,151.296,151.296,453.888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
add_21,151.296,151.296,453.888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
encoder.layers.encoder_layer_10.ln_2,0,151.296,302.592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
encoder.layers.encoder_layer_10.mlp.0,151.296,605.184,907.776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
encoder.layers.encoder_layer_10.mlp.1,605.184,605.184,1361.664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
encoder.layers.encoder_layer_10.mlp.3,605.184,151.296,907.776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
add_22,0,151.296,453.888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
encoder.layers.encoder_layer_11.ln_1,0,151.296,302.592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
encoder.layers.encoder_layer_11.self_attention.q_proj,0,151.296,453.888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0
encoder.layers.encoder_layer_11.self_attention.k_proj,0,151.296,605.184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,151.296,0,0
encoder.layers.encoder_layer_11.self_attention.v_proj,0,151.296,756.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,151.296,151.296,0
matmul_22,0,465.708,1070.892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,151.296,151.296
truediv_11,465.708,465.708,1234.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296
encoder.layers.encoder_layer_11.self_attention.softmax,465.708,465.708,1234.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296
matmul_23,465.708,151.296,919.596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296
encoder.layers.encoder_layer_11.self_attention.out_proj,151.296,151.296,453.888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
add_23,151.296,151.296,453.888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
encoder.layers.encoder_layer_11.ln_2,0,151.296,302.592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
encoder.layers.encoder_layer_11.mlp.0,151.296,605.184,907.776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
encoder.layers.encoder_layer_11.mlp.1,605.184,605.184,1361.664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
encoder.layers.encoder_layer_11.mlp.3,605.184,151.296,907.776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
add_24,0,151.296,453.888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
encoder.ln,151.296,151.296,302.592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heads.head,0.768,1.0,152.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
